customer_id,name,email,signup_date,country,marketing_source
10439,Lisa Campbell,adam73@example.com,2026-03-12,Japan,Facebook Ads
10440,Sarah Olsen,michael52@example.org,2026-03-12,China,Organic
10441,Christian Singh,ramirezgeorge@example.net,2026-03-12,China,Referral
10442,David Rogers,ymcbride@example.org,2026-03-12,China,Referral
10443,Jessica May,moodylinda@example.com,2026-03-12,Germany,Facebook Ads
10444,James David,bharris@example.com,2026-03-12,China,Facebook Ads
10445,Leslie Vega,kdecker@example.net,2026-03-12,Japan,Instagram
10446,Shelby Mays,longmargaret@example.net,2026-03-12,USA,Google Ads
10447,David Matthews,jeffrey42@example.com,2026-03-12,UK,Instagram
10448,Stacey Perry,cowanwanda@example.net,2026-03-12,India,Organic
10449,Lauren Ross,ybowen@example.org,2026-03-12,Germany,Email Campaign
10450,Paul Young,lopezjason@example.org,2026-03-12,Canada,Organic
10451,Joy Gardner,wrightmichael@example.org,2026-03-12,India,Organic
10452,Gina Wilson,michael35@example.org,2026-03-12,India,Google Ads
10453,John Finley MD,dana85@example.net,2026-03-12,Canada,Referral
10454,Julie Ellis,kevin51@example.net,2026-03-12,Canada,Referral
10455,Jessica Arnold,jasmineayers@example.com,2026-03-12,Germany,Organic
10456,Karen Davidson,rodneygibson@example.com,2026-03-12,Germany,Email Campaign
10457,Angela Byrd,thomas71@example.com,2026-03-12,China,Organic
10458,Kimberly Williams,marcusmelton@example.com,2026-03-12,India,Organic
10459,Kevin Mcclure,sgraham@example.net,2026-03-12,China,Google Ads
10460,Olivia Graham,obrown@example.org,2026-03-12,USA,Email Campaign
10461,Donna Randolph DDS,samanthapage@example.net,2026-03-12,Canada,Organic
10462,Marisa Dickson,mmeyers@example.org,2026-03-12,India,Referral
10463,Carly Morris,susan66@example.net,2026-03-12,Canada,Email Campaign
10464,Aaron Ortega,fmassey@example.net,2026-03-12,China,Google Ads
10465,Kayla Wolfe,richardsdiana@example.com,2026-03-12,Japan,Google Ads
10466,Shannon Jackson,vgamble@example.net,2026-03-12,Germany,Google Ads
10467,Edward Black,vlee@example.org,2026-03-12,India,Organic
10468,Stacy Hughes,jasonjackson@example.net,2026-03-12,USA,Google Ads
10469,Crystal Bean,jburgess@example.com,2026-03-12,Germany,Facebook Ads
10470,William Coleman,kenneth11@example.com,2026-03-12,Canada,Email Campaign
10471,Justin Porter,ecarrillo@example.net,2026-03-12,UK,Instagram
10472,Christopher Warren,xperez@example.net,2026-03-12,Germany,Organic
10473,Angela Lewis,dpayne@example.com,2026-03-12,Japan,Referral
10474,Jocelyn Warner,brian57@example.com,2026-03-12,China,Organic
10475,Anthony Torres,hlowe@example.net,2026-03-12,India,Organic
10476,Michael Smith,marypatton@example.org,2026-03-12,Canada,Email Campaign
10477,Evan Cunningham,jclements@example.org,2026-03-12,UK,Instagram
10478,Karen Glenn,grahamyolanda@example.org,2026-03-12,UK,Referral
10479,Mary Lewis,jonessarah@example.net,2026-03-12,Germany,Email Campaign
10480,Ashley Hale,victorwong@example.org,2026-03-12,UK,Email Campaign
10481,Jessica Spencer,petersonjohn@example.com,2026-03-12,Japan,Instagram
10482,Ronald Martinez,burgessjason@example.net,2026-03-12,Germany,Referral
10483,Scott Payne,rachel40@example.com,2026-03-12,Japan,Organic
10484,Gary Martinez,michael51@example.net,2026-03-12,India,Referral
10485,Jose Hall,trevormitchell@example.com,2026-03-12,UK,Organic
10486,John Watson,williamscynthia@example.net,2026-03-12,Canada,Referral
10487,Casey Hunter,collinslauren@example.org,2026-03-12,USA,Organic
10488,Mrs. Angela Smith,amy18@example.com,2026-03-12,USA,Organic
