customer_id,name,email,signup_date,country,marketing_source
10439,Katherine Johnson,tkennedy@example.com,2026-03-12,UK,Facebook Ads
10440,Seth Jones,ukane@example.org,2026-03-12,USA,Google Ads
10441,Mary Thornton,rosslawrence@example.net,2026-03-12,China,Facebook Ads
10442,Raymond Banks,joneslawrence@example.org,2026-03-12,UK,Email Campaign
10443,Michelle Young,stevenjackson@example.net,2026-03-12,USA,Instagram
10444,Kenneth Cox,aaron52@example.org,2026-03-12,USA,Email Campaign
10445,Justin Young,leslie46@example.com,2026-03-12,UK,Facebook Ads
10446,Amy Evans,courtneypowers@example.com,2026-03-12,UK,Google Ads
10447,Antonio Thomas,tylerford@example.org,2026-03-12,UK,Email Campaign
10448,Jimmy Jackson,margaret51@example.org,2026-03-12,UK,Organic
10449,Kimberly Boyd,renee94@example.net,2026-03-12,Germany,Referral
10450,Cory Mason,gnorris@example.org,2026-03-12,USA,Email Campaign
10451,Adam Ross,georgerose@example.net,2026-03-12,UK,Email Campaign
10452,Sylvia Hernandez,qlong@example.org,2026-03-12,Japan,Email Campaign
10453,Tricia Townsend,herreraanna@example.com,2026-03-12,USA,Google Ads
10454,Christopher Taylor,brianfrancis@example.net,2026-03-12,India,Organic
10455,Patrick Shelton,john92@example.net,2026-03-12,India,Facebook Ads
10456,Carlos Middleton,eric02@example.org,2026-03-12,UK,Referral
10457,Holly Moreno,kfuller@example.net,2026-03-12,Germany,Organic
10458,Brian Russell,monica63@example.net,2026-03-12,USA,Google Ads
10459,Amber Wagner,maymark@example.org,2026-03-12,Canada,Google Ads
10460,Holly Kim,zharvey@example.com,2026-03-12,India,Facebook Ads
10461,Tony Graham,iwhite@example.net,2026-03-12,India,Email Campaign
10462,Danielle Owen,jackbowers@example.com,2026-03-12,Canada,Instagram
10463,Kelsey Miller,kdecker@example.org,2026-03-12,UK,Organic
10464,Brandy Cook,edwardtrujillo@example.com,2026-03-12,China,Instagram
10465,Kenneth Tyler,camposchris@example.org,2026-03-12,Canada,Referral
10466,Nathan Myers,lawrence28@example.net,2026-03-12,India,Referral
10467,Michelle Howard,smithjack@example.com,2026-03-12,USA,Facebook Ads
10468,Melissa Cook,evan35@example.org,2026-03-12,India,Email Campaign
10469,Jake Johnson,stephengray@example.net,2026-03-12,USA,Email Campaign
10470,Aaron Medina,tyler10@example.com,2026-03-12,USA,Facebook Ads
10471,Sophia Mccormick,iroberts@example.com,2026-03-12,Canada,Google Ads
10472,Gabriela Wells,douglas44@example.net,2026-03-12,Germany,Organic
10473,Larry Smith,robertsoneric@example.org,2026-03-12,Japan,Facebook Ads
10474,Bradley Brown,igarcia@example.net,2026-03-12,Germany,Instagram
