customer_id,name,email,signup_date,country,marketing_source
10439,Michael Gardner,tyler96@example.com,2026-03-12,Germany,Instagram
10440,Renee Flores,kelly86@example.org,2026-03-12,UK,Email Campaign
10441,Dawn Crawford,zthomas@example.com,2026-03-12,India,Referral
10442,Jennifer Thompson,gutierrezshirley@example.com,2026-03-12,India,Google Ads
10443,John White,jamie22@example.org,2026-03-12,UK,Organic
10444,Misty Taylor,sjones@example.net,2026-03-12,India,Facebook Ads
10445,Jeffrey Hall,mlawrence@example.net,2026-03-12,India,Google Ads
10446,Rodney Anderson,fjames@example.com,2026-03-12,China,Facebook Ads
10447,Michael Pruitt,brian23@example.com,2026-03-12,India,Email Campaign
10448,Ashley Green,dallen@example.net,2026-03-12,Germany,Organic
10449,Angela Alvarez,tcabrera@example.net,2026-03-12,China,Google Ads
10450,Madison Mathews,amanda91@example.com,2026-03-12,India,Referral
10451,Lee Martin,michelledavis@example.org,2026-03-12,China,Organic
10452,Susan Jones,uchandler@example.org,2026-03-12,China,Referral
10453,Susan Parker,davisjason@example.com,2026-03-12,Japan,Organic
10454,Darren Taylor,chelsea49@example.net,2026-03-12,UK,Organic
10455,Joseph Davis,alyssajensen@example.net,2026-03-12,Japan,Referral
10456,Ronald Hamilton,rjohnson@example.com,2026-03-12,USA,Email Campaign
10457,Justin Miller,asmith@example.com,2026-03-12,Canada,Google Ads
10458,Amber Lee,sonya28@example.net,2026-03-12,Japan,Referral
10459,Jamie Henry,brownkyle@example.com,2026-03-12,Germany,Instagram
10460,Erin Wheeler,barnesnathan@example.com,2026-03-12,Germany,Organic
10461,Andrea Edwards,hoffmanadam@example.net,2026-03-12,Japan,Organic
10462,Sharon Klein,guerraallen@example.com,2026-03-12,Germany,Instagram
10463,Rachel Aguilar,tdaniels@example.org,2026-03-12,UK,Referral
10464,Scott Obrien,bradley07@example.net,2026-03-12,Germany,Referral
10465,Maria Thomas,samuel87@example.net,2026-03-12,Germany,Google Ads
10466,Alexa Smith,joycecynthia@example.com,2026-03-12,India,Referral
10467,Tom Jordan,tmccarthy@example.com,2026-03-12,Canada,Referral
10468,Jennifer Cook,kking@example.org,2026-03-12,China,Organic
10469,Kristin Flores,pbell@example.org,2026-03-12,UK,Google Ads
