customer_id,name,email,signup_date,country,marketing_source
10439,Ricardo Thompson,megan31@example.com,2026-03-12,Canada,Facebook Ads
10440,Elizabeth Ayala,thomasmelissa@example.net,2026-03-12,Germany,Facebook Ads
10441,Amanda Richards,rayalexander@example.org,2026-03-12,India,Google Ads
10442,Kenneth Webb,icohen@example.com,2026-03-12,Germany,Email Campaign
10443,Brenda Jacobs,sthompson@example.com,2026-03-12,UK,Organic
10444,Carlos Allison,kmata@example.net,2026-03-12,China,Referral
10445,Anthony Becker,hmcgee@example.com,2026-03-12,Canada,Google Ads
10446,Melissa Huynh,michael40@example.net,2026-03-12,Canada,Referral
10447,Richard Evans,derek98@example.net,2026-03-12,UK,Facebook Ads
10448,Melissa Newman,oscarowens@example.org,2026-03-12,Japan,Google Ads
10449,Christopher Simpson,oliviabennett@example.com,2026-03-12,Germany,Organic
10450,Kristin Martin,griffinmark@example.com,2026-03-12,Japan,Organic
10451,Eric Adams,masonsmith@example.com,2026-03-12,Canada,Instagram
10452,Teresa Miller,wcox@example.com,2026-03-12,India,Organic
10453,James Munoz,david23@example.net,2026-03-12,USA,Instagram
10454,Joel Riddle,nmiller@example.org,2026-03-12,India,Organic
10455,John Saunders,owensdonna@example.com,2026-03-12,USA,Facebook Ads
10456,Deanna Garrett,zamoraanita@example.net,2026-03-12,UK,Facebook Ads
10457,Nathan Ellison,jessica88@example.com,2026-03-12,UK,Email Campaign
10458,Kathleen Ross,reillyjoshua@example.com,2026-03-12,Japan,Referral
10459,Joshua Moon,ayersricky@example.org,2026-03-12,Canada,Referral
10460,Heather Zamora,seansilva@example.com,2026-03-12,India,Email Campaign
10461,Charles Hubbard,dpetersen@example.net,2026-03-12,USA,Referral
10462,Felicia Flynn,mpowell@example.org,2026-03-12,Germany,Email Campaign
10463,Natalie Lane,johnball@example.net,2026-03-12,Canada,Google Ads
10464,Joseph Colon,logan77@example.com,2026-03-12,India,Email Campaign
10465,Catherine Parker,jesuspetty@example.com,2026-03-12,India,Referral
10466,Dr. Christopher Wright,aconway@example.net,2026-03-12,USA,Organic
10467,Melissa Ward,denise33@example.net,2026-03-12,Canada,Organic
10468,Victoria Ballard,lisa52@example.net,2026-03-12,Germany,Organic
10469,Ashley Garcia,crystalbarnes@example.org,2026-03-12,UK,Email Campaign
10470,Amber Mendez,jeffrey39@example.net,2026-03-12,China,Email Campaign
10471,Timothy Medina,ylowe@example.org,2026-03-12,USA,Email Campaign
10472,Aaron Hinton,joanneschroeder@example.com,2026-03-12,Canada,Facebook Ads
10473,Matthew Brown,brownglenda@example.org,2026-03-12,China,Organic
10474,Sabrina Schmidt,ewilson@example.net,2026-03-12,UK,Email Campaign
10475,Angelica Nguyen,johncameron@example.com,2026-03-12,India,Facebook Ads
10476,Mariah Turner,jnguyen@example.org,2026-03-12,China,Referral
10477,Kathy Garcia,brandon93@example.net,2026-03-12,Canada,Instagram
10478,Ryan Holland,kruegermichelle@example.org,2026-03-12,Germany,Email Campaign
10479,Christopher Smith,ybriggs@example.org,2026-03-12,Japan,Google Ads
10480,Dr. Clayton Morales,heathermiller@example.org,2026-03-12,Japan,Google Ads
10481,David Butler,scampbell@example.org,2026-03-12,India,Instagram
10482,Tony Stewart,keithwilson@example.com,2026-03-12,Canada,Google Ads
10483,Jose Watkins,turnermarissa@example.com,2026-03-12,Germany,Facebook Ads
10484,Tracey Brooks,kevinnichols@example.com,2026-03-12,Canada,Facebook Ads
10485,Morgan Travis,brownangela@example.org,2026-03-12,Japan,Instagram
